KEY,Description,en,es,fr,ru,vi,zh-CN
cancel,,Cancel,Cancelar,Annuler,Отмена,Huỷ Bỏ,取消
close,,Close,Cerrar,Fermer,Закрыть,Đóng,关闭
chat.alert.deleteThread.description,,"Are you sure you want to delete ""{name}""?
This action cannot be undone.","¿Estás seguro de que quieres eliminar ""{name}""?
Esta acción no se puede deshacer.","Êtes-vous sûr de vouloir supprimer ""{name}"" ?
Cette action ne peut pas être annulée.","Вы уверены, что хотите удалить ""{name}""?
Это действие нельзя будет отменить.","Bạn có chắc chắn muốn xóa ""{name}"" không?
Hành động này không thể hoàn tác.","您确定要删除“{name}”吗？
此操作无法撤销。"
chat.alert.deleteThread.title,,Delete Thread,Eliminar conversación,Supprimer la conversation,Удалить тему,Xóa Chủ Đề,删除话题
chat.alert.shareThread.description,,"Are you sure you want to share ""{name}""?
The recipient will have full access including deleting and viewing the history and future of the thread.","¿Estás seguro de que quieres compartir ""{name}""?
El destinatario tendrá acceso completo, incluyendo la posibilidad de eliminar y ver el historial y futuro del hilo.","Êtes-vous sûr de vouloir partager ""{name}"" ?
Le destinataire aura un accès complet, y compris la possibilité de supprimer et de consulter l'historique et les futures conversations du fil.","Вы уверены, что хотите поделиться ""{name}""?
Получатель получит полный доступ, включая возможность удаления, просмотра истории и будущего этой темы.","Bạn có chắc chắn muốn chia sẻ ""{name}""?
Người nhận sẽ có toàn quyền truy cập bao gồm xóa và xem lịch sử cũng như tương lai của cuộc trò chuyện.","您确定要分享“{name}”吗？
接收者将拥有完全的访问权限，包括删除以及查看该线程的历史和未来内容。"
chat.alert.shareThread.descriptionDanger,,"Are you sure you want to share ""{name}""?
The recipient will have full access including deleting and viewing the history and future of the thread.
The thread currently are also not assigned to any user account, its ownership will be transferred to the first user account that joins the thread.","¿Estás seguro de que quieres compartir ""{name}""?
El destinatario tendrá acceso completo, incluyendo la posibilidad de eliminar y ver el historial y futuro del hilo.
Actualmente, el hilo no está asignado a ninguna cuenta de usuario, su propiedad se transferirá a la primera cuenta de usuario que se una al hilo.","Êtes-vous sûr de vouloir partager ""{name}"" ?
Le destinataire aura un accès complet, y compris la possibilité de supprimer et de consulter l'historique et les futures conversations du fil.
Actuellement, ce fil n'est associé à aucun compte utilisateur, sa propriété sera transférée au premier compte utilisateur qui rejoindra le fil.","Вы уверены, что хотите поделиться ""{name}""?
Получатель получит полный доступ, включая возможность удаления, просмотра истории и будущего этой темы.
В настоящее время эта тема также не привязана ни к одной учетной записи пользователя, и её владение будет передано первой учетной записи пользователя, которая присоединится к теме.","Bạn có chắc chắn muốn chia sẻ ""{name}""?
Người nhận sẽ có toàn quyền truy cập bao gồm xóa và xem lịch sử cũng như tương lai của cuộc trò chuyện.
Hiện tại cuộc trò chuyện này chưa được gán cho bất kỳ tài khoản người dùng nào, quyền sở hữu sẽ được chuyển cho tài khoản người dùng đầu tiên tham gia vào cuộc trò chuyện.","您确定要分享“{name}”吗？
接收者将拥有完全的访问权限，包括删除以及查看该线程的历史和未来内容。
目前该线程未分配给任何用户账户，其所有权将转移给第一个加入该线程的用户账户。"
chat.alert.shareThread.title,,Share Thread,Compartir hilo,Partager la discussion,Поделиться дискуссией,Chia sẻ chủ đề,共享线程
chat.components.chatSearchDialog.enterToSend.p2,,to start new chat,para iniciar nuevo chat,pour démarrer une nouvelle conversation,чтобы начать новый чат,để bắt đầu cuộc trò chuyện mới,开始新聊天
chat.components.chatSearchDialog.noResultsFound,,No results found.,No se encontraron resultados.,Aucun résultat trouvé.,Результаты не найдены.,Không tìm thấy kết quả nào.,未找到结果。
chat.components.chatSearchDialog.placeholder,,Select or enter a message for a new chat!,¡Selecciona o introduce un mensaje para un nuevo chat!,Sélectionnez ou saisissez un message pour une nouvelle conversation !,Выберите или введите сообщение для нового чата!,Chọn hoặc nhập tin nhắn cho cuộc trò chuyện mới!,选择或输入一条消息以开始新的聊天！
chat.interface.selectOrStart,,Select a chat or start a new one.,Selecciona un chat o inicia uno nuevo.,Sélectionnez une conversation ou commencez-en une nouvelle.,Выберите чат или начните новый.,Chọn một cuộc trò chuyện hoặc bắt đầu cuộc trò chuyện mới.,选择一个聊天或开始新的聊天。
chat.interface.sendToStart,,Send a message to start chatting.,Envía un mensaje para comenzar a chatear.,Envoyez un message pour commencer la conversation.,"Отправьте сообщение, чтобы начать общение.",Gửi tin nhắn để bắt đầu trò chuyện.,发送消息以开始聊天。
chat.message.branch,,Branch off,Crear ramificación,Créer une branche,Создать ветку,Tạo nhánh,分支话题
chat.message.copy,,Copy message,Copiar mensaje,Copier le message,Копировать сообщение,Sao chép tin nhắn,复制消息
chat.multiStreamConfirmDialog.description,,"Sending follow-up messages about in-streaming messages can cause the model to be confused, continue?","Enviar mensajes de seguimiento sobre mensajes en transmisión puede confundir al modelo, ¿continuar?","L'envoi de messages de suivi concernant des messages en cours de diffusion peut perturber le modèle, continuer ?",Отправка последующих сообщений о сообщениях в потоке может вызвать путаницу у модели. Продолжить?,"Việc gửi tin nhắn tiếp theo về các tin nhắn đang trong quá trình phát có thể khiến mô hình bị nhầm lẫn, bạn có muốn tiếp tục không?",发送关于正在流式传输消息的后续消息可能会导致模型混淆，是否继续？
chat.multiStreamConfirmDialog.title,,There are messages still streaming,Hay mensajes que aún se están generando,Des messages sont encore en cours de génération,Сообщения все еще передаются,Vẫn còn tin nhắn đang được tạo,仍有消息正在生成
chat.provider.groq,,Groq,Groq,Groq,Groq,Groq,Groq
chat.provider.google,,Google,Google,Google,Google,Google,Google
chat.provider.anthropic,,Anthropic,Anthropic,Anthropic,Anthropic,Anthropic,Anthropic
chat.provider.hosted,,Hosted,Alojado (H),Hébergé,Управляемый (H),Được cung cấp (H),托管 (H)
chat.provider.openai,,OpenAI,OpenAI,OpenAI,OpenAI,OpenAI,OpenAI
chat.provider.openrouter,,OpenRouter,OpenRouter,OpenRouter,OpenRouter,OpenRouter,OpenRouter
chat.settings.general.shortcuts.newChat,,New Chat,Nuevo chat,Nouvelle conversation,Новый чат,Cuộc trò chuyện mới,新建聊天
chat.settings.general.shortcuts.search,,Search,Buscar,Rechercher,Поиск,Tìm kiếm,搜索
chat.settings.general.shortcuts.toggleSettings,,Toggle Settings,Alternar configuración,Afficher/masquer les paramètres,Переключить настройки,Bật/tắt cài đặt,切换设置
chat.settings.general.shortcuts.toggleSidebar,,Toggle Sidebar,Alternar barra lateral,Afficher/masquer la barre latérale,Переключить боковую панель,Bật/tắt thanh bên,切换侧边栏
chat.settings.general.title,,General Settings,Configuración general,Paramètres généraux,Общие настройки,Cài đặt chung,常规设置
chat.settings.providers.title,,Providers Settings,Configuración de proveedores,Paramètres des fournisseurs,Настройки провайдеров,Cài đặt nhà cung cấp,服务提供商设置
chat.settings.providerDialog.description,,"Changes are automatically saved, just close!","Los cambios se guardan automáticamente, ¡solo cierra!","Les modifications sont automatiquement enregistrées, il suffit de fermer !","Изменения сохраняются автоматически, просто закройте!","Các thay đổi được tự động lưu, chỉ cần đóng lại!",更改会自动保存，直接关闭即可！
chat.settings.providerDialog.form.apiKey,,API Key,Clave API,Clé API,Ключ API,Khóa API,API 密钥
chat.settings.providerDialog.form.models,,Models,Modelos,Modèles,Модели,Các mô hình,模型
chat.sidebar.newChat,,New Chat,Nuevo chat,Nouvelle conversation,Новый чат,Cuộc trò chuyện mới,新建聊天
chat.sidebar.search.placeholder,,Search chats...,Buscar chats...,Rechercher des conversations...,Поиск чатов...,Tìm kiếm cuộc trò chuyện...,搜索聊天...
chat.sidebar.threads.empty,,No chats yet.,No hay chats todavía.,Pas encore de conversations.,Чатов пока нет.,Chưa có cuộc trò chuyện nào.,尚无聊天记录。
chat.sidebar.threads.loading,,Loading threads...,Cargando conversaciones...,Chargement des conversations...,Загрузка бесед...,Đang tải các cuộc trò chuyện...,正在加载对话...
chat.thread.branchedFrom,,Branched from {title},Ramificado desde {title},Dérivé de {title},Ответвлено от {title},Được tạo nhánh từ {title},分支自 {title}
chat.thread.delete,,Delete Thread,Eliminar conversación,Supprimer la conversation,Удалить тему,Xóa chủ đề,删除话题
chat.thread.freeze,,Freeze thread,Congelar hilo,Geler la discussion,Заморозить тему,Đóng băng chủ đề,冻结线程
chat.thread.frozen,,Thread is frozen,El hilo está congelado,La discussion est gelée,Тема заморожена,Chủ đề đã được đóng băng,线程已冻结
chat.thread.frozenWithDescription,,"Thread is frozen, new messages will create a new branch","El hilo está congelado, los nuevos mensajes crearán una nueva rama","La discussion est gelée, les nouveaux messages créeront une nouvelle branche","Тема заморожена, новые сообщения создадут новую ветку","Chủ đề đã bị đóng băng, tin nhắn mới sẽ tạo một nhánh mới",线程已冻结，新消息将创建一个新分支
chat.thread.pin,,Pin Thread,Fijar conversación,Épingler la conversation,Закрепить тему,Ghim chủ đề,置顶话题
chat.thread.share,,Share thread,Compartir hilo,Partager la discussion,Поделиться дискуссией,Chia sẻ chủ đề,共享线程
chat.thread.unfreeze,,Unfreeze thread,Descongelar hilo,Dégeler la discussion,Разморозить тему,Giải băng chủ đề,解冻线程
chat.thread.unpin,,Unpin Thread,Desfijar conversación,Désépingler la conversation,Открепить тему,Bỏ ghim chủ đề,取消置顶话题
